,This file was created by CMPT_ME_BEME_RETS_DAILY using the 201709 CRSP database.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,The Tbill return is the simple daily rate that, over the number of trading days,,,
1,in the month, compounds to 1-month TBill rate from Ibbotson and Associates Inc.,,,
2,,,,,
3,,Mkt-RF,SMB,HML,RF
4,19260701,0.1,-0.24,-0.28,0.009
5,19260702,0.45,-0.32,-0.08,0.009
6,19260706,0.17,0.27,-0.35,0.009
7,19260707,0.09,-0.59,0.03,0.009
8,19260708,0.21,-0.36,0.15,0.009
9,19260709,-0.71,0.44,0.56,0.009
10,19260710,0.62,-0.5,-0.15,0.009
11,19260712,0.04,0.03,0.54,0.009
12,19260713,0.48,-0.26,-0.23,0.009
13,19260714,0.04,0.09,-0.48,0.009
14,19260715,-0.43,0.54,-0.3,0.009
15,19260716,0.53,0.01,-0.57,0.009
16,19260717,0.34,0.43,-0.63,0.009
17,19260719,-0.01,0.01,-0.49,0.009
18,19260720,-0.57,-0.23,0.16,0.009
19,19260721,-0.6,0.21,0.31,0.009
20,19260722,-0.73,-0.3,-0.17,0.009
21,19260723,-0.02,0.08,0.06,0.009
22,19260724,-0.14,0.44,-0.06,0.009
23,19260726,0.53,-0.38,-0.25,0.009
24,19260727,0.43,-0.45,0.26,0.009
25,19260728,1.09,0.04,-0.28,0.009
26,19260729,0.36,-0.61,-1.01,0.009
27,19260730,0.14,-0.47,0.55,0.009
28,19260731,0.46,-0.12,-0.17,0.009
29,19260802,0.84,-0.22,-0.03,0.01
30,19260803,0.47,-0.27,-0.6,0.01
31,19260804,-0.36,0.16,0.25,0.01
32,19260805,-0.09,0.01,0.73,0.01
33,19260806,0.68,0.08,0.16,0.01
34,19260807,0.46,0.08,-0.24,0.01
35,19260809,0.21,-0.04,-0.26,0.01
36,19260810,-1.4,0.34,0.21,0.01
37,19260811,-0.57,0.21,0.34,0.01
38,19260812,0.84,-0.77,0.42,0.01
39,19260813,0.58,-0.85,0.25,0.01
40,19260814,0.69,0.15,-0.36,0.01
41,19260816,0.07,0.23,0.7,0.01
42,19260817,-0.95,0.34,0.16,0.01
43,19260818,0.26,0.08,0.04,0.01
44,19260819,-0.6,0.12,0.1,0.01
45,19260820,-0.2,-0.36,0.42,0.01
46,19260821,0.32,-0.06,0.49,0.01
47,19260823,0.49,-0.48,0.62,0.01
48,19260824,-0.84,0.5,-0.09,0.01
49,19260825,-0.32,-0.43,0.28,0.01
50,19260826,0.53,0.09,0.5,0.01
