,Date,Open,High,Low,Close,Adj Close,Volume
0,1989-12-29,7.375,7.4375,7.375,7.421875,3.972369,2624000
1,1990-01-02,7.34375,7.484375,7.3125,7.484375,4.005819,5376000
2,1990-01-03,7.484375,7.53125,7.40625,7.515625,4.022547,7007200
3,1990-01-04,7.515625,7.546875,7.4375,7.53125,4.030909,4132000
4,1990-01-05,7.5,7.59375,7.453125,7.453125,3.989094,4864000
5,1990-01-08,7.453125,7.578125,7.4375,7.578125,4.055998,7173600
6,1990-01-09,7.578125,7.578125,7.34375,7.34375,3.930555,7431200
7,1990-01-10,7.359375,7.4375,7.1875,7.234375,3.872015,8620800
8,1990-01-11,7.3125,7.359375,7.28125,7.328125,3.922193,3319200
9,1990-01-12,7.25,7.296875,7.078125,7.109375,3.805111,8144800
10,1990-01-15,7.0625,7.140625,7.046875,7.078125,3.788387,4255200
11,1990-01-16,7.03125,7.078125,6.96875,7.078125,3.788387,8056800
12,1990-01-17,7.0625,7.109375,7.015625,7.015625,3.754933,7482400
13,1990-01-18,6.96875,7.09375,6.953125,7.078125,3.788387,4601600
14,1990-01-19,7.078125,7.1875,7.0625,7.171875,3.838563,5992000
15,1990-01-22,7.140625,7.15625,6.921875,6.921875,3.704756,4003200
16,1990-01-23,7.046875,7.046875,6.875,6.90625,3.696393,6219200
17,1990-01-24,6.75,6.84375,6.578125,6.78125,3.629491,11744000
18,1990-01-25,6.734375,6.828125,6.59375,6.625,3.545861,5124000
19,1990-01-26,6.625,6.734375,6.4375,6.609375,3.537499,6485600
20,1990-01-29,6.6875,6.703125,6.5625,6.609375,3.537499,4469600
21,1990-01-30,6.65625,6.671875,6.390625,6.5,3.47896,6475200
22,1990-01-31,6.53125,6.609375,6.484375,6.546875,3.504047,5142400
23,1990-02-01,6.78125,6.78125,6.640625,6.671875,3.570951,5934400
24,1990-02-02,6.6875,6.875,6.671875,6.828125,3.654579,4728000
25,1990-02-05,6.796875,6.828125,6.75,6.78125,3.629491,3910400
26,1990-02-06,6.8125,6.8125,6.65625,6.75,3.612764,3760800
27,1990-02-07,6.734375,6.90625,6.671875,6.84375,3.662942,5452000
28,1990-02-08,6.921875,7.03125,6.890625,6.96875,3.729845,8659200
29,1990-02-09,7.0,7.078125,6.984375,7.015625,3.754933,3249600
30,1990-02-12,7.03125,7.03125,6.9375,6.96875,3.729845,2563200
31,1990-02-13,6.953125,6.953125,6.828125,6.875,3.698909,3593600
32,1990-02-14,6.90625,6.953125,6.875,6.9375,3.732534,3696800
33,1990-02-15,6.90625,7.046875,6.90625,7.046875,3.791384,3306400
34,1990-02-16,7.046875,7.046875,6.90625,6.9375,3.732534,5685600
35,1990-02-20,6.90625,6.90625,6.6875,6.8125,3.665283,4844000
36,1990-02-21,6.6875,6.75,6.6875,6.71875,3.614841,5664000
37,1990-02-22,6.75,6.78125,6.640625,6.640625,3.572809,3593600
38,1990-02-23,6.640625,6.65625,6.5,6.515625,3.505558,8368800
39,1990-02-26,6.5625,6.6875,6.5,6.671875,3.589622,4156800
40,1990-02-27,6.6875,6.75,6.65625,6.671875,3.589622,4815200
41,1990-02-28,6.640625,6.765625,6.640625,6.703125,3.606438,6101600
42,1990-03-01,6.734375,6.828125,6.71875,6.75,3.631655,3040800
43,1990-03-02,6.8125,6.875,6.765625,6.875,3.698909,4353600
44,1990-03-05,6.875,6.9375,6.765625,6.765625,3.64006,4536000
45,1990-03-06,6.796875,6.921875,6.796875,6.90625,3.715724,4117600
46,1990-03-07,6.96875,6.96875,6.875,6.90625,3.715724,3157600
47,1990-03-08,6.96875,7.0,6.921875,6.984375,3.757755,3329600
48,1990-03-09,6.953125,6.96875,6.90625,6.953125,3.740943,3087200
49,1990-03-12,6.90625,6.9375,6.828125,6.921875,3.724128,2899200
50,1990-03-13,6.90625,6.921875,6.78125,6.796875,3.656876,3235200
51,1990-03-14,6.828125,6.90625,6.8125,6.890625,3.707315,4241600
52,1990-03-15,6.90625,7.15625,6.875,7.109375,3.825009,8206400
53,1990-03-16,7.140625,7.1875,7.09375,7.15625,3.850229,13574400
54,1990-03-19,7.078125,7.15625,7.078125,7.125,3.833415,4110400
55,1990-03-20,7.125,7.125,7.015625,7.046875,3.791384,4452800
56,1990-03-21,7.015625,7.09375,6.984375,6.984375,3.757755,2240000
57,1990-03-22,7.015625,7.046875,6.828125,6.859375,3.690502,4945600
58,1990-03-23,6.90625,6.984375,6.875,6.96875,3.749349,3143200
59,1990-03-26,6.984375,7.03125,6.96875,6.984375,3.757755,3404000
60,1990-03-27,6.984375,7.1875,6.9375,7.140625,3.841823,3596000
61,1990-03-28,7.171875,7.1875,7.09375,7.140625,3.841823,2716000
62,1990-03-29,7.140625,7.15625,7.0625,7.078125,3.808196,4065600
63,1990-03-30,7.09375,7.09375,7.0,7.015625,3.77457,3392800
64,1990-04-02,6.96875,7.03125,6.9375,7.015625,3.77457,3212000
65,1990-04-03,7.046875,7.21875,7.015625,7.203125,3.875447,4440800
66,1990-04-04,7.234375,7.296875,7.0625,7.09375,3.816603,5109600
67,1990-04-05,7.171875,7.234375,7.125,7.140625,3.841823,5328000
68,1990-04-06,7.171875,7.1875,7.015625,7.140625,3.841823,3004000
69,1990-04-09,7.140625,7.296875,7.125,7.265625,3.909073,4144000
70,1990-04-10,7.1875,7.296875,7.171875,7.265625,3.909073,3089600
71,1990-04-11,7.3125,7.375,7.28125,7.28125,3.917481,3565600
72,1990-04-12,7.203125,7.328125,7.171875,7.328125,3.9427,7604800
73,1990-04-16,7.40625,7.421875,7.28125,7.296875,3.925887,4822400
74,1990-04-17,7.25,7.421875,7.234375,7.390625,3.976327,4045600
75,1990-04-18,7.375,7.40625,7.296875,7.328125,3.9427,5266400
76,1990-04-19,7.1875,7.328125,7.1875,7.265625,3.909073,4676000
77,1990-04-20,7.296875,7.3125,7.21875,7.28125,3.917481,8176800
78,1990-04-23,7.28125,7.28125,7.125,7.140625,3.841823,4032000
79,1990-04-24,7.171875,7.203125,7.046875,7.078125,3.808196,4395200
80,1990-04-25,7.09375,7.140625,7.03125,7.0625,3.799788,5257600
81,1990-04-26,7.09375,7.15625,7.03125,7.140625,3.841823,4712000
82,1990-04-27,7.15625,7.1875,7.0,7.046875,3.791384,4312000
83,1990-04-30,7.0,7.078125,6.953125,7.078125,3.808196,5119200
84,1990-05-01,7.125,7.203125,7.09375,7.15625,3.850229,4491200
85,1990-05-02,7.140625,7.28125,7.125,7.28125,3.917481,4460000
86,1990-05-03,7.296875,7.34375,7.234375,7.25,3.900668,5130400
87,1990-05-04,7.34375,7.390625,7.265625,7.375,3.967921,4731200
88,1990-05-07,7.375,7.4375,7.34375,7.421875,3.99314,3360000
89,1990-05-08,7.4375,7.4375,7.375,7.40625,3.984732,3875200
90,1990-05-09,7.390625,7.421875,7.28125,7.296875,3.925887,6946400
91,1990-05-10,7.328125,7.390625,7.28125,7.34375,3.951109,5289600
92,1990-05-11,7.390625,7.53125,7.34375,7.5,4.035174,11144800
93,1990-05-14,7.5,7.65625,7.5,7.578125,4.077205,10726400
94,1990-05-15,7.578125,7.640625,7.53125,7.625,4.102426,4568800
95,1990-05-16,7.625,7.65625,7.515625,7.609375,4.116966,5828800
96,1990-05-17,7.625,7.6875,7.59375,7.65625,4.142327,5177600
97,1990-05-18,7.65625,7.65625,7.546875,7.59375,4.108512,7778400
98,1990-05-21,7.578125,7.734375,7.5625,7.71875,4.176141,5252800
99,1990-05-22,7.75,7.828125,7.65625,7.765625,4.201504,8048000
100,1990-05-23,7.765625,7.796875,7.703125,7.78125,4.209959,4568000
101,1990-05-24,7.8125,7.9375,7.75,7.9375,4.294496,7586400
102,1990-05-25,7.875,7.890625,7.8125,7.828125,4.235318,4137600
103,1990-05-29,7.875,7.984375,7.84375,7.96875,4.311401,4101600
104,1990-05-30,8.0,8.046875,7.9375,8.015625,4.336765,5363200
105,1990-05-31,7.984375,8.015625,7.96875,7.984375,4.319857,4316800
106,1990-06-01,8.0625,8.0625,7.96875,8.03125,4.345218,3874400
107,1990-06-04,8.03125,8.15625,7.96875,8.140625,4.404395,4662400
108,1990-06-05,8.15625,8.21875,8.140625,8.15625,4.412848,7432800
109,1990-06-06,8.125,8.140625,8.03125,8.078125,4.370579,5090400
110,1990-06-07,8.0625,8.09375,8.0,8.03125,4.345218,4103200
111,1990-06-08,8.03125,8.046875,7.859375,7.875,4.260679,3192800
112,1990-06-11,7.890625,8.0,7.890625,8.0,4.328312,4662400
113,1990-06-12,8.03125,8.125,7.921875,8.125,4.395939,6276800
114,1990-06-13,8.125,8.15625,8.046875,8.09375,4.379032,4232000
115,1990-06-14,8.0625,8.0625,7.984375,7.984375,4.319857,3385600
116,1990-06-15,7.9375,8.046875,7.921875,8.046875,4.353673,11009600
117,1990-06-18,8.0,8.015625,7.90625,7.921875,4.286041,3864800
118,1990-06-19,7.90625,7.984375,7.90625,7.96875,4.311401,4208800
119,1990-06-20,8.015625,8.140625,7.984375,8.078125,4.370579,5956000
120,1990-06-21,8.140625,8.390625,8.125,8.328125,4.505839,7876800
121,1990-06-22,8.359375,8.40625,8.171875,8.171875,4.421299,5196800
122,1990-06-25,8.1875,8.25,8.0625,8.09375,4.379032,3591200
123,1990-06-26,8.21875,8.234375,8.109375,8.109375,4.387486,5017600
124,1990-06-27,8.140625,8.34375,8.140625,8.328125,4.505839,4943200
125,1990-06-28,8.34375,8.515625,8.34375,8.484375,4.590374,5012800
126,1990-06-29,8.484375,8.53125,8.390625,8.46875,4.581922,4847200
127,1990-07-02,8.46875,8.703125,8.4375,8.703125,4.708727,3276000
128,1990-07-03,8.734375,8.734375,8.65625,8.65625,4.683368,4078400
129,1990-07-05,8.65625,8.671875,8.484375,8.546875,4.624189,3448000
130,1990-07-06,8.5,8.65625,8.484375,8.609375,4.658005,3203200
131,1990-07-09,8.625,8.625,8.53125,8.546875,4.624189,4348800
132,1990-07-10,8.546875,8.5625,8.46875,8.5,4.598829,2674400
133,1990-07-11,8.5625,8.78125,8.53125,8.703125,4.708727,4808000
134,1990-07-12,8.75,8.859375,8.6875,8.859375,4.793266,5823200
135,1990-07-13,8.875,8.984375,8.8125,8.8125,4.767904,5689600
136,1990-07-16,8.875,8.9375,8.828125,8.859375,4.793266,4823200
137,1990-07-17,8.921875,8.921875,8.765625,8.890625,4.810173,4767200
138,1990-07-18,8.890625,8.96875,8.84375,8.921875,4.827081,5471200
139,1990-07-19,8.875,9.09375,8.875,9.09375,4.920071,5739200
140,1990-07-20,9.078125,9.265625,9.0625,9.125,4.936978,9755200
141,1990-07-23,9.0,9.03125,8.65625,8.875,4.801719,10388800
142,1990-07-24,8.9375,9.0,8.8125,9.0,4.869349,8861600
143,1990-07-25,9.0,9.1875,9.0,9.15625,4.953887,6392800
144,1990-07-26,9.140625,9.234375,9.109375,9.171875,4.962339,6127200
145,1990-07-27,9.15625,9.171875,9.015625,9.046875,4.89471,3821600
146,1990-07-30,8.984375,9.015625,8.828125,8.953125,4.843988,6620000
147,1990-07-31,8.953125,8.96875,8.796875,8.828125,4.776359,5901600
148,1990-08-01,8.796875,8.84375,8.734375,8.8125,4.767904,5189600
149,1990-08-02,8.625,8.6875,8.5625,8.59375,4.649551,8441600
150,1990-08-03,8.53125,8.53125,8.046875,8.40625,4.548108,14180800
151,1990-08-06,7.9375,8.109375,7.875,8.0,4.328312,10750400
152,1990-08-07,8.1875,8.21875,8.046875,8.15625,4.412848,9803200
153,1990-08-08,8.21875,8.484375,8.171875,8.390625,4.539652,9247200
154,1990-08-09,8.40625,8.453125,8.328125,8.359375,4.522747,5516000
155,1990-08-10,8.4375,8.4375,8.125,8.265625,4.472023,4776800
156,1990-08-13,8.171875,8.421875,8.15625,8.421875,4.556561,4969600
157,1990-08-14,8.375,8.515625,8.328125,8.453125,4.57347,8891200
158,1990-08-15,8.5625,8.671875,8.515625,8.546875,4.647558,7431200
159,1990-08-16,8.5,8.515625,8.359375,8.359375,4.545599,7285600
160,1990-08-17,8.28125,8.375,8.015625,8.234375,4.477629,12459200
161,1990-08-20,8.21875,8.3125,8.109375,8.125,4.418155,3236000
162,1990-08-21,7.96875,8.09375,7.78125,7.984375,4.341684,9757600
163,1990-08-22,8.0625,8.125,7.796875,7.84375,4.265217,6157600
164,1990-08-23,7.5625,7.71875,7.5,7.609375,4.13777,11455200
165,1990-08-24,7.78125,7.8125,7.59375,7.75,4.214239,6520800
166,1990-08-27,8.0625,8.125,8.0,8.078125,4.392665,5811200
167,1990-08-28,8.0625,8.203125,8.03125,8.09375,4.40116,3990400
168,1990-08-29,8.03125,8.3125,8.03125,8.25,4.486126,4747200
169,1990-08-30,8.265625,8.296875,8.109375,8.140625,4.426649,4908000
170,1990-08-31,8.15625,8.203125,8.0625,8.203125,4.460636,2900000
171,1990-09-04,8.078125,8.265625,8.0625,8.265625,4.494619,4356800
172,1990-09-05,8.296875,8.34375,8.21875,8.265625,4.494619,7383200
173,1990-09-06,8.21875,8.21875,8.0,8.09375,4.40116,6010400
174,1990-09-07,8.09375,8.203125,8.0625,8.203125,4.460636,5562400
175,1990-09-10,8.25,8.265625,8.09375,8.15625,4.435146,5242400
176,1990-09-11,8.1875,8.1875,8.09375,8.125,4.418155,3495200
177,1990-09-12,8.171875,8.171875,8.09375,8.125,4.418155,3488000
178,1990-09-13,8.09375,8.109375,7.921875,7.953125,4.324693,3576000
179,1990-09-14,7.9375,7.96875,7.875,7.96875,4.333188,4472800
180,1990-09-17,7.953125,8.078125,7.90625,8.015625,4.358676,4462400
181,1990-09-18,7.953125,8.109375,7.875,8.09375,4.40116,5864000
182,1990-09-19,8.125,8.140625,8.0,8.0,4.350182,4037600
183,1990-09-20,7.9375,7.9375,7.78125,7.78125,4.231229,5051200
184,1990-09-21,7.765625,7.84375,7.703125,7.8125,4.248225,9148000
185,1990-09-24,7.65625,7.75,7.5625,7.671875,4.171756,5802400
186,1990-09-25,7.6875,7.875,7.65625,7.875,4.282209,5964000
187,1990-09-26,7.828125,7.890625,7.734375,7.84375,4.265217,6797600
188,1990-09-27,7.921875,7.953125,7.75,7.796875,4.239728,5434400
189,1990-09-28,7.625,7.90625,7.609375,7.90625,4.299201,6589600
190,1990-10-01,8.0,8.265625,7.96875,8.234375,4.477629,9763200
191,1990-10-02,8.359375,8.46875,8.296875,8.296875,4.511613,8303200
192,1990-10-03,8.265625,8.328125,8.109375,8.171875,4.443644,4655200
193,1990-10-04,8.171875,8.234375,8.09375,8.1875,4.452138,4417600
194,1990-10-05,8.0,8.28125,8.0,8.1875,4.452138,6472800
195,1990-10-08,8.25,8.3125,8.21875,8.3125,4.52011,3103200
196,1990-10-09,8.25,8.3125,8.140625,8.140625,4.426649,5401600
197,1990-10-10,8.0625,8.15625,8.015625,8.0625,4.384168,5980800
198,1990-10-11,8.046875,8.078125,7.921875,7.921875,4.307697,6046400
199,1990-10-12,7.953125,8.0625,7.921875,8.03125,4.367173,5668800
200,1990-10-15,8.09375,8.265625,8.015625,8.171875,4.443644,6057600
201,1990-10-16,8.21875,8.234375,8.078125,8.09375,4.40116,4399200
202,1990-10-17,8.0625,8.203125,8.046875,8.140625,4.426649,3052000
203,1990-10-18,8.15625,8.375,8.15625,8.359375,4.545599,7552800
204,1990-10-19,8.453125,8.46875,8.28125,8.421875,4.579586,10852800
205,1990-10-22,8.453125,8.625,8.40625,8.53125,4.639061,11591200
206,1990-10-23,8.515625,8.6875,8.5,8.578125,4.66455,5587200
207,1990-10-24,8.5625,8.578125,8.453125,8.484375,4.61357,3757600
208,1990-10-25,8.453125,8.53125,8.359375,8.453125,4.596579,5698400
209,1990-10-26,8.40625,8.4375,8.21875,8.265625,4.494619,3380000
210,1990-10-29,8.25,8.34375,8.125,8.1875,4.452138,4071200
211,1990-10-30,8.171875,8.25,8.046875,8.21875,4.469133,6192000
212,1990-10-31,8.25,8.28125,7.984375,8.046875,4.375672,4449600
213,1990-11-01,8.03125,8.234375,7.96875,8.21875,4.469133,5984000
214,1990-11-02,8.21875,8.34375,8.171875,8.328125,4.528608,5092800
215,1990-11-05,8.328125,8.46875,8.328125,8.4375,4.588082,3371200
216,1990-11-06,8.390625,8.421875,8.28125,8.296875,4.511613,2555200
217,1990-11-07,8.28125,8.3125,8.15625,8.171875,4.443644,3704000
218,1990-11-08,8.15625,8.25,8.0625,8.125,4.418155,5273600
219,1990-11-09,8.125,8.265625,8.078125,8.1875,4.452138,8084000
220,1990-11-12,8.234375,8.359375,8.21875,8.34375,4.537105,7744800
221,1990-11-13,8.3125,8.34375,8.25,8.28125,4.503117,6150400
