,Date,Open,High,Low,Close,Adj Close,Volume
0,1989-12-29,8.53125,8.71875,8.5,8.625,5.148017,1968400
1,1990-01-02,8.59375,8.71875,8.5625,8.71875,5.203971,3128000
2,1990-01-03,8.6875,8.6875,8.5625,8.625,5.148017,4244800
3,1990-01-04,8.625,8.65625,8.4375,8.46875,5.054755,3026400
4,1990-01-05,8.4375,8.5,8.21875,8.3125,4.961494,4822400
5,1990-01-08,8.28125,8.5,8.21875,8.46875,5.054755,3346000
6,1990-01-09,8.5,8.5625,8.40625,8.40625,5.01745,4269200
7,1990-01-10,8.3125,8.375,8.15625,8.25,4.924191,4530000
8,1990-01-11,8.3125,8.46875,8.15625,8.1875,4.886885,2773600
9,1990-01-12,8.125,8.125,7.75,8.03125,4.793623,5225200
10,1990-01-15,8.0,8.125,7.875,7.9375,4.737668,4260000
11,1990-01-16,7.8125,8.03125,7.75,8.03125,4.793623,4524400
12,1990-01-17,8.03125,8.09375,7.9375,8.03125,4.793623,2595200
13,1990-01-18,7.875,8.125,7.84375,8.0625,4.812278,3970000
14,1990-01-19,8.03125,8.0625,7.9375,7.96875,4.756319,3051200
15,1990-01-22,7.9375,7.9375,7.6875,7.75,4.625756,3492800
16,1990-01-23,7.8125,7.9375,7.75,7.875,4.700365,2500800
17,1990-01-24,7.78125,7.90625,7.65625,7.75,4.625756,4014000
18,1990-01-25,7.875,7.90625,7.65625,7.71875,4.607102,2848400
19,1990-01-26,7.6875,7.9375,7.59375,7.8125,4.663059,4648400
20,1990-01-29,7.78125,7.90625,7.65625,7.8125,4.663059,2763200
21,1990-01-30,7.78125,7.9375,7.75,7.8125,4.663059,4034400
22,1990-01-31,7.875,8.15625,7.875,8.15625,4.868233,3586800
23,1990-02-01,8.15625,8.34375,8.15625,8.28125,4.942843,4661600
24,1990-02-02,8.25,8.375,8.25,8.3125,4.961494,3623600
25,1990-02-05,8.25,8.375,8.25,8.375,4.998799,2855600
26,1990-02-06,8.3125,8.34375,8.25,8.28125,4.942843,2838400
27,1990-02-07,8.3125,8.46875,8.1875,8.46875,5.054755,4014000
28,1990-02-08,8.4375,8.5,8.28125,8.28125,4.942843,4473600
29,1990-02-09,8.34375,8.375,8.21875,8.25,4.924191,3262000
30,1990-02-12,8.21875,8.25,8.125,8.125,4.84958,2018400
31,1990-02-13,8.09375,8.15625,8.03125,8.15625,4.868233,3273200
32,1990-02-14,8.125,8.15625,8.03125,8.0625,4.812278,2158800
33,1990-02-15,8.09375,8.21875,8.0625,8.21875,4.905538,2292000
34,1990-02-16,8.21875,8.21875,8.0625,8.09375,4.830928,3282400
35,1990-02-20,8.0,8.0625,7.90625,7.96875,4.756319,2610000
36,1990-02-21,7.8125,7.90625,7.8125,7.8125,4.663059,3957600
37,1990-02-22,7.8125,7.90625,7.75,7.8125,4.663059,2979200
38,1990-02-23,7.71875,7.78125,7.65625,7.6875,4.588449,4256400
39,1990-02-26,7.65625,7.875,7.65625,7.875,4.700365,3562400
40,1990-02-27,7.8125,7.96875,7.78125,7.90625,4.73058,3072800
41,1990-02-28,7.9375,8.0625,7.875,7.875,4.711882,3367200
42,1990-03-01,7.90625,7.9375,7.78125,7.875,4.711882,3275200
43,1990-03-02,7.90625,8.0,7.875,7.9375,4.749277,2934800
44,1990-03-05,7.96875,8.0,7.9375,8.0,4.786674,1977200
45,1990-03-06,8.0,8.03125,7.9375,8.0,4.786674,3800000
46,1990-03-07,8.0,8.03125,7.78125,7.78125,4.655787,3456000
47,1990-03-08,7.84375,8.0,7.78125,8.0,4.786674,3044400
48,1990-03-09,8.0,8.0625,7.9375,8.03125,4.80537,2304000
49,1990-03-12,7.96875,8.0,7.90625,8.0,4.786674,2383200
50,1990-03-13,7.9375,7.96875,7.875,7.90625,4.73058,2369600
51,1990-03-14,7.96875,7.96875,7.84375,7.9375,4.749277,2038000
52,1990-03-15,7.90625,7.96875,7.875,7.90625,4.73058,2024400
53,1990-03-16,7.96875,7.96875,7.9375,7.96875,4.767974,4211600
54,1990-03-19,7.96875,8.1875,7.875,8.1875,4.898862,4793200
55,1990-03-20,8.125,8.1875,8.0625,8.09375,4.842767,3330800
56,1990-03-21,8.09375,8.125,7.90625,7.96875,4.767974,1659600
57,1990-03-22,7.84375,7.90625,7.75,7.875,4.711882,4283600
58,1990-03-23,7.9375,7.96875,7.8125,7.84375,4.693184,1635200
59,1990-03-26,7.875,7.9375,7.84375,7.84375,4.693184,1956000
60,1990-03-27,7.84375,7.96875,7.8125,7.96875,4.767974,2750000
61,1990-03-28,8.0,8.03125,7.9375,7.96875,4.767974,2410800
62,1990-03-29,7.9375,7.96875,7.84375,7.90625,4.73058,2060800
63,1990-03-30,7.90625,8.0625,7.875,7.9375,4.749277,2594800
64,1990-04-02,7.875,7.9375,7.8125,7.90625,4.73058,2372800
65,1990-04-03,7.90625,8.03125,7.90625,8.0,4.786674,1872800
66,1990-04-04,7.9375,8.0,7.875,7.875,4.711882,2658400
67,1990-04-05,7.875,7.9375,7.84375,7.875,4.711882,2044000
68,1990-04-06,7.90625,7.90625,7.75,7.8125,4.674486,1904800
69,1990-04-09,7.78125,7.96875,7.75,7.96875,4.767974,2602000
70,1990-04-10,7.96875,8.125,7.9375,8.0625,4.82407,3718800
71,1990-04-11,8.09375,8.125,8.03125,8.03125,4.80537,1948800
72,1990-04-12,8.03125,8.21875,8.03125,8.15625,4.880161,2447600
73,1990-04-16,8.21875,8.3125,8.15625,8.21875,4.917558,2835600
74,1990-04-17,8.15625,8.28125,8.125,8.25,4.936256,2768000
75,1990-04-18,8.28125,8.28125,8.0625,8.09375,4.842767,2541600
76,1990-04-19,8.03125,8.09375,7.96875,7.96875,4.767974,1995600
77,1990-04-20,7.96875,8.0,7.75,7.875,4.711882,4820400
78,1990-04-23,7.875,7.875,7.6875,7.78125,4.655787,3690000
79,1990-04-24,7.78125,7.84375,7.6875,7.71875,4.61839,2756400
80,1990-04-25,7.75,7.78125,7.71875,7.71875,4.61839,2880400
81,1990-04-26,7.75,7.78125,7.59375,7.65625,4.580997,4033600
82,1990-04-27,7.65625,7.71875,7.59375,7.59375,4.543601,4776000
83,1990-04-30,7.59375,7.625,7.5,7.5625,4.524902,3803200
84,1990-05-01,7.5625,7.6875,7.5,7.65625,4.580997,3445600
85,1990-05-02,7.65625,7.78125,7.65625,7.78125,4.655787,1776800
86,1990-05-03,7.8125,7.9375,7.78125,7.8125,4.674486,4505600
87,1990-05-04,7.875,7.96875,7.78125,7.96875,4.767974,2851600
88,1990-05-07,7.96875,8.03125,7.90625,7.9375,4.749277,2378800
89,1990-05-08,7.90625,7.9375,7.8125,7.84375,4.693184,2984000
90,1990-05-09,7.78125,7.96875,7.78125,7.9375,4.749277,3361600
91,1990-05-10,7.9375,8.0625,7.90625,7.96875,4.767974,3478400
92,1990-05-11,8.0,8.1875,7.96875,8.15625,4.880161,8518800
93,1990-05-14,8.125,8.25,8.0625,8.125,4.861465,5972800
94,1990-05-15,8.03125,8.09375,7.96875,8.03125,4.80537,3652800
95,1990-05-16,8.0,8.0625,7.90625,7.9375,4.749277,3352400
96,1990-05-17,7.96875,8.0625,7.9375,7.96875,4.767974,3609200
97,1990-05-18,8.0,8.21875,7.9375,8.1875,4.898862,4956800
98,1990-05-21,8.1875,8.375,8.09375,8.375,5.011047,4436800
99,1990-05-22,8.4375,8.5,8.34375,8.40625,5.029744,3956400
100,1990-05-23,8.3125,8.53125,8.25,8.53125,5.104537,4913600
101,1990-05-24,8.625,8.875,8.59375,8.78125,5.254118,7754000
102,1990-05-25,8.71875,8.71875,8.59375,8.59375,5.141932,2594400
